Close,Qty,EPS
348.0,11425.0,14.24
357.0,26577.0,14.24
360.0,31366.0,14.24
354.0,29824.0,14.24
347.0,5875.0,14.24
348.0,6636.0,14.24
347.0,11103.0,14.24
343.0,11992.0,14.24
345.0,13405.0,14.24
342.0,2742.0,14.24
334.0,18341.0,14.24
334.0,17242.0,14.24
339.0,20976.0,14.24
340.0,11941.0,14.24
327.0,45826.0,14.24
327.0,44678.0,14.24
326.0,12610.0,14.24
325.0,6604.0,14.24
326.0,31274.0,14.24
324.0,8329.0,14.24
319.0,17787.0,14.24
316.0,16734.0,14.24
309.0,18664.0,14.24
304.0,19432.0,14.24
298.0,15568.0,14.24
308.0,13125.0,14.24
307.0,15130.0,14.24
315.0,10960.0,14.24
308.0,11449.0,14.24
308.0,2719.0,14.24
308.0,5288.0,14.24
310.0,5694.0,14.24
318.0,14733.0,14.24
330.0,25338.0,14.24
328.0,15606.0,14.24
322.0,9966.0,14.24
323.0,3501.0,14.24
323.0,8904.0,14.24
318.0,13360.0,15.49
324.0,10296.0,15.49
330.0,13633.0,15.49
338.0,17142.0,15.49
346.0,33625.0,15.49
356.0,33695.0,15.49
350.0,35197.0,15.49
343.0,14697.0,15.49
340.0,15294.0,15.49
336.0,24001.0,15.49
334.0,42224.0,15.49
338.0,11337.0,15.49
341.0,32659.0,15.49
337.0,11511.0,15.49
337.0,17494.0,15.49
339.0,15267.0,15.49
342.0,14076.0,15.49
338.0,12434.0,15.49
